                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
0,1.2965,1.2498,0.59867,0.99431,0.00090451
1,1.0094,1.1846,0.66556,0.97818,0.00065451
2,0.85543,1.535,0.59725,0.98529,0.00034549
3,0.7113,1.0585,0.73719,0.98956,9.55E-05
4,0.59717,0.77056,0.8648,0.99241,0.001
5,0.8623,1.1917,0.70825,0.97296,0.00097553
6,0.72236,1.0333,0.77894,0.98956,0.00090451
7,0.63643,4.3178,0.42979,0.89564,0.00079389
8,0.56317,0.96088,0.83065,0.97249,0.00065451
9,0.52408,0.76414,0.90275,0.9834,0.0005
10,0.49666,0.71321,0.90133,0.98767,0.00034549
11,0.48073,0.7254,0.90939,0.98767,0.00020611
12,0.4738,0.69817,0.90797,0.98909,9.55E-05
13,0.46658,0.69145,0.91129,0.98956,2.45E-05
14,0.46389,0.69089,0.91129,0.98861,0.001
15,0.83793,0.93252,0.80977,0.99431,0.00099384
16,0.64105,0.75469,0.89326,0.99051,0.00097553
17,0.55878,0.76254,0.87903,0.98956,0.0009455
18,0.54739,0.7462,0.90417,0.98387,0.00090451
19,0.53069,0.72229,0.90038,0.98672,0.00085355
20,0.49508,0.71001,0.90275,0.98767,0.00079389
21,0.48497,0.70616,0.90085,0.98814,0.000727
22,0.48707,0.70287,0.90275,0.98577,0.00065451
23,0.47664,0.69454,0.91129,0.98861,0.00057822
24,0.47177,0.69809,0.90465,0.98814,0.0005
25,0.47167,0.70484,0.9018,0.98719,0.00042178
26,0.46619,0.70322,0.89896,0.98719,0.00034549
27,0.46324,0.70315,0.89896,0.98767,0.000273
28,0.45862,0.70348,0.89991,0.98719,0.00020611
29,0.45683,0.70637,0.89564,0.98719,0.00014645
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
" 24/155      3.3G       0.477       0.695       0.911       0.989: 100%|¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€| 397/397 [07:29<00:00,  1.13s/it]",,,,,
,,,,,
"macro_precision:0.913334,macro_recall:0.892881,macro_f1:0.901541,mcc:0.894002",,,,,
