                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.3581,                 2.3271,                0.32495,                0.92505,             0.00090451
                      1,                 1.0382,                 1.1319,                0.66793,                0.99336,             0.00065451
                      2,                0.83134,                0.95914,                 0.7685,                 0.9981,             0.00034549
                      3,                0.64225,                0.80917,                0.85531,                0.98956,             9.5492e-05
                      4,                0.54717,                0.72574,                0.89516,                0.99431,                  0.001
                      5,                0.86589,                 1.1613,                0.68454,                0.97818,             0.00097553
                      6,                0.69605,                0.86466,                0.83681,                0.98672,             0.00090451
                      7,                 0.6187,                0.82518,                0.84962,                0.99526,             0.00079389
                      8,                  0.558,                0.75317,                0.88425,                0.98861,             0.00065451
                      9,                0.52816,                0.80212,                0.86148,                0.99478,                 0.0005
                     10,                0.49747,                0.73474,                0.88852,                0.99336,             0.00034549
                     11,                0.48453,                0.75982,                0.87856,                0.99051,             0.00020611
                     12,                0.47023,                0.75335,                0.88994,                0.98624,             9.5492e-05
                     13,                0.46364,                0.74437,                0.89374,                0.98861,             2.4472e-05
                     14,                0.45998,                0.74095,                0.89421,                0.98861,                  0.001
                     15,                0.80321,                0.79255,                0.84535,                0.99099,             0.00099384
                     16,                0.62498,                 0.7256,                0.89564,                0.99099,             0.00097553
                     17,                0.56807,                0.73159,                0.88852,                0.98956,              0.0009455
                     18,                0.54135,                0.73455,                0.89564,                0.98814,             0.00090451
                     19,                0.53446,                0.74806,                0.89469,                0.98624,             0.00085355
                     20,                0.51586,                0.74454,                0.89089,                0.98672,             0.00079389
                     21,                0.51099,                0.75237,                0.89516,                0.98672,               0.000727
                     22,                0.50737,                0.74872,                0.88615,                0.98435,             0.00065451
                     23,                0.48636,                0.75102,                0.88852,                0.98767,             0.00057822
                     24,                0.49161,                0.76866,                0.88567,                0.98814,                 0.0005
                     25,                0.47922,                0.74813,                0.89564,                0.98814,             0.00042178
                     26,                0.46638,                0.72575,                0.89089,                0.99004,             0.00034549
                     27,                0.45748,                0.72845,                0.88899,                0.98909,               0.000273
                     28,                0.45903,                0.74093,                 0.8871,                0.98577,             0.00020611
                     29,                0.45591,                0.75673,                0.88283,                0.98624,             0.00014645
                     30,                0.45217,                0.76464,                0.88662,                0.98577,             9.5492e-05
                     31,                0.45099,                0.76555,                0.88567,                0.98435,             5.4497e-05
                     32,                0.45002,                0.76723,                 0.8871,                0.98435,             2.4472e-05
                     33,                0.44949,                0.76905,                0.88805,                0.98482,             6.1558e-06
                     34,                0.44915,                0.76781,                0.88899,                0.98435,                  0.001
