                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
0,1.1979,1.091,0.71272,0.99123,0.00090451
1,0.87737,1.3671,0.66385,0.99499,0.00065451
2,0.68415,0.87643,0.80921,0.99593,0.00034549
3,0.55762,0.68336,0.91103,0.99687,9.55E-05
4,0.49826,0.65928,0.91447,0.99655,0.001
5,0.77085,0.8611,0.84712,0.98684,0.00097553
6,0.61049,0.78854,0.86591,0.99123,0.00090451
7,0.56548,0.67821,0.9198,0.99467,0.00079389
8,0.50908,0.6946,0.90977,0.99655,0.00065451
9,0.48451,0.64289,0.92732,0.99624,0.0005
10,0.48002,0.69568,0.90883,0.99405,0.00034549
11,0.46663,0.62908,0.93358,0.99467,0.00020611
12,0.4579,0.62702,0.93358,0.9953,9.55E-05
13,0.45454,0.62703,0.93264,0.99561,2.45E-05
14,0.45316,0.62566,0.93484,0.99561,0.001
15,0.94185,0.80521,0.85871,0.99499,0.00099384
16,0.70467,0.73519,0.89348,0.99248,0.00097553
17,0.59487,0.70873,0.90633,0.99154,0.0009455
18,0.5688,0.70898,0.90727,0.9906,0.00090451
19,0.54162,0.68401,0.91729,0.99436,0.00085355
20,0.51873,0.68886,0.91353,0.99217,0.00079389
21,0.52765,0.69712,0.91447,0.99154,0.000727
22,0.50731,0.69282,0.90727,0.99248,0.00065451
23,0.49195,0.68112,0.90852,0.99436,0.00057822
24,0.47603,0.67426,0.91134,0.99436,0.0005
25,0.46382,0.67409,0.91165,0.99405,0.00042178
26,0.48832,0.67275,0.91541,0.99467,0.00034549
27,0.47223,0.67946,0.91447,0.99467,0.000273
28,0.4596,0.68506,0.91165,0.99436,0.00020611
29,0.45565,0.6844,0.9104,0.99405,0.00014645
30,0.45532,0.68321,0.91103,0.99342,9.55E-05
31,0.45287,0.68251,0.91197,0.99311,5.45E-05
32,0.45194,0.68201,0.91385,0.99248,2.45E-05
33,0.4513,0.68208,0.91291,0.99279,6.16E-06
34,0.45093,0.68224,0.91259,0.99217,0.001
35,0.85199,1.2442,0.65288,0.95144,0.00099846
36,0.60465,1.5032,0.47431,0.93264,0.00099384
37,0.5526,1.5231,0.47274,0.93139,0.00098618
38,0.51953,1.497,0.50564,0.93452,0.00097553
39,0.52707,1.4699,0.53039,0.93672,0.00096194
40,0.50426,1.4226,0.55639,0.94048,0.0009455
41,0.50444,1.3762,0.58709,0.94424,0.00092632
42,0.50234,1.3369,0.61122,0.94768,0.00090451
43,0.50167,1.3066,0.63158,0.95175,0.0008802
44,0.50262,1.2866,0.64348,0.95457,0.00085355
45,0.4939,1.2687,0.65382,0.95677,0.00082472
46,0.4909,1.2609,0.6604,0.95708,0.00079389
47,0.47306,1.2414,0.67199,0.95959,0.00076125
48,0.46161,1.2239,0.67951,0.95959,0.000727
49,0.45623,1.2132,0.68233,0.95771,0.00069134
50,0.45606,1.2132,0.68202,0.95489,0.00065451
51,0.52748,1.2378,0.6698,0.95238,0.00061672
52,0.48416,1.2677,0.65508,0.94768,0.00057822
53,0.4594,1.2784,0.65226,0.94643,0.00053923
54,0.45499,1.2847,0.65038,0.94518,0.0005
55,0.45341,1.2928,0.64787,0.94298,0.00046077
56,0.49171,1.3075,0.63941,0.94173,0.00042178
57,0.45631,1.3137,0.63534,0.93985,0.00038328
58,0.4534,1.3143,0.63127,0.93797,0.00034549
59,0.46406,1.3191,0.62343,0.93734,0.00030866
60,0.45321,1.3203,0.62406,0.9364,0.000273
61,0.45169,1.3204,0.62375,0.93546,0.00023875
62,0.4504,1.3218,0.62093,0.93358,0.00020611
63,0.45005,1.3241,0.6203,0.93233,0.00017528
64,0.44964,1.329,0.61466,0.92857,0.00014645
65,0.44959,1.3367,0.60902,0.92794,0.0001198
66,0.44936,1.3457,0.60182,0.92575,9.55E-05
67,0.44884,1.356,0.5943,0.92513,7.37E-05
68,0.44859,1.3685,0.58365,0.92356,5.45E-05
69,0.44835,1.3814,0.57362,0.92293,3.81E-05
70,0.44818,1.3952,0.56422,0.92231,2.45E-05
71,0.44795,1.4088,0.55764,0.92105,1.38E-05
72,0.44783,1.4212,0.55107,0.91949,6.16E-06
73,0.44773,1.4317,0.5401,0.91855,1.54E-06
74,0.44765,1.4404,0.53258,0.91667,0.001
75,0.88891,1.6364,0.3916,0.9032,0.00099961
76,0.59308,1.7901,0.30326,0.88816,0.00099846
77,0.53858,1.8966,0.2594,0.86811,0.00099653
78,0.49836,1.9655,0.24436,0.85746,0.00099384
79,0.49944,2.0216,0.23528,0.85056,0.00099039
80,0.48589,2.0467,0.23402,0.85025,0.00098618
81,0.51289,2.0734,0.23246,0.84962,0.00098123
82,0.49703,2.1199,0.22713,0.84586,0.00097553
83,0.4977,2.1449,0.22619,0.84461,0.0009691
84,0.47626,2.1333,0.23058,0.85056,0.00096194
85,0.48846,2.1473,0.23246,0.85213,0.00095407
86,0.49351,2.1685,0.23246,0.85088,0.0009455
87,0.47825,2.1697,0.23496,0.85401,0.00093625
88,0.48806,2.1697,0.24029,0.85526,0.00092632
89,0.49744,2.1839,0.24185,0.85589,0.00091573
90,0.48078,2.191,0.24373,0.85432,0.00090451
91,0.45597,2.1627,0.25,0.85652,0.00089266
92,0.49377,2.1394,0.2547,0.85996,0.0008802
93,0.46809,2.1064,0.26222,0.86247,0.00086716
94,0.47966,2.0809,0.27068,0.8656,0.00085355
95,0.48031,2.0646,0.276,0.86404,0.0008394
96,0.46416,2.0332,0.28321,0.86936,0.00082472
97,0.48379,2.0043,0.28822,0.87406,0.00080955
98,0.47312,1.9741,0.29543,0.87563,0.00079389
99,0.45383,1.9338,0.30733,0.88064,0.00077779
100,0.45179,1.891,0.32018,0.88503,0.00076125
101,0.45136,1.8495,0.33051,0.88847,0.00074431
102,0.45062,1.8118,0.34179,0.89348,0.000727
103,0.52311,1.7943,0.34962,0.89505,0.00070933
104,0.49168,1.7958,0.34931,0.89662,0.00069134
105,0.46457,1.7774,0.3584,0.89818,0.00067306
106,0.46048,1.7533,0.37249,0.89912,0.00065451
107,0.46085,1.7261,0.38847,0.90069,0.00063572
108,0.46062,1.6954,0.40006,0.90226,0.00061672
