                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.2139,                 5.4459,                0.18672,                0.63753,             0.00090451
                      1,                0.91325,                 1.5655,                0.62813,                0.94424,             0.00065451
                      2,                 0.7003,                0.89756,                0.82143,                 0.9906,             0.00034549
                      3,                0.56435,                0.70721,                0.89286,                0.99749,             9.5492e-05
                      4,                0.50252,                0.65571,                0.91855,                0.99499,                  0.001
                      5,                 0.7718,                0.89479,                0.79825,                0.99248,             0.00097553
                      6,                0.64326,                0.79173,                0.86497,                0.99123,             0.00090451
                      7,                0.57903,                0.84621,                0.83803,                0.99217,             0.00079389
                      8,                0.54912,                0.69826,                0.90633,                0.99405,             0.00065451
                      9,                0.50824,                0.80705,                0.84962,                0.99248,                 0.0005
                     10,                0.48572,                0.65855,                0.92105,                 0.9953,             0.00034549
                     11,                0.46495,                0.63841,                0.92607,                0.99499,             0.00020611
                     12,                0.45874,                0.63572,                0.92951,                0.99311,             9.5492e-05
                     13,                0.45568,                0.62985,                0.92951,                0.99373,             2.4472e-05
                     14,                0.45427,                0.62937,                0.93045,                0.99436,                  0.001
                     15,                0.98027,                0.78422,                0.86811,                0.99718,             0.00099384
                     16,                0.72093,                0.71399,                0.90539,                0.99185,             0.00097553
                     17,                0.60783,                0.68657,                0.91228,                0.99185,              0.0009455
                     18,                0.58778,                0.70693,                0.91165,                0.99467,             0.00090451
                     19,                0.54299,                0.68572,                0.91761,                0.99373,             0.00085355
                     20,                0.53688,                0.68411,                0.91917,                0.99279,             0.00079389
                     21,                0.52711,                0.70808,                0.90946,                0.99185,               0.000727
                     22,                0.51036,                0.67033,                0.92419,                0.99217,             0.00065451
                     23,                0.49246,                0.66963,                0.92513,                0.99217,             0.00057822
                     24,                0.48283,                0.67853,                 0.9245,                0.99123,                 0.0005
                     25,                0.47828,                0.67721,                0.92513,                0.99311,             0.00042178
                     26,                 0.4664,                0.67627,                0.92325,                0.99311,             0.00034549
                     27,                0.46628,                0.67758,                0.92011,                0.99279,               0.000273
